Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
3825 NW Aloclek Street (PDX10),58840.94495,6.717002849,3825 NW Aloclek Street,-122.891924,45.54770497,GoogleMap,Portland,27,Oregon,108
Flexential Portland - Hillsboro 3 Data Center,58840.94495,6.717002849,5419 NE Starr Blvd,-122.9380037,45.5591974,ROOFTOP,Portland,27,Oregon,108
Flexential Portland - Hillsboro 2 Data Center,58840.94495,6.717002849,5737 NE Huffman St.,-122.9171644,45.5578496,ROOFTOP,Portland,27,Oregon,108
Flexential Portland - Hillsboro 1 Data Center,58840.94495,6.717002849,3935 NE Aloclek Place,-122.891445,45.5484502,ROOFTOP,Portland,27,Oregon,108
Flexential Portland - Hillsboro 5 Data Center,58840.94495,6.717002849,4975 NE Starr Blvd,-122.9393305,45.5564705,ROOFTOP,Portland,27,Oregon,108
6675 NE 62nd Ave (PDX11),58840.94495,6.717002849,6675 NE 62nd Ave,-122.9165461,45.5682799,ROOFTOP,Portland,27,Oregon,108
Flexential Portland - Hillsboro 4 Data Center,58840.94495,6.717002849,4915 NE Starr Blvd,-122.939805,45.5554569,ROOFTOP,Portland,27,Oregon,108
NTT Hillsboro HI1,58840.94495,6.717002849,4050 NE Evergreen Road,-122.9374791,45.5495142,ROOFTOP,Portland,27,Oregon,108
Digital Fortress Portland 2,58840.94495,6.717002849,9705 SW Sunshine Court,-122.776206,45.4763002,ROOFTOP,Portland,27,Oregon,108
Digital Fortress Portland 1,58840.94495,6.717002849,511 SW 10th Ave.,-122.6816597,45.5212243,ROOFTOP,Portland,27,Oregon,108
STACK Infrastructure POR02A,58840.94495,6.717002849,8135 NE Evergreen Pkwy,-122.8979396,45.5473386,ROOFTOP,Portland,27,Oregon,108
H5 Data Centers Portland,58840.94495,6.717002849,1233 NW 12th Ave,-80.2145565,25.7863528,RANGE_INTERPOLATED,Portland,27,Oregon,108
Digital Fortress Portland 3,58840.94495,6.717002849,9610 SW Sunshine Ct,-122.7760665,45.4756634,ROOFTOP,Portland,27,Oregon,108
EdgeConneX Portland - EDCPOR01,58840.94495,6.717002849,6327 NW Evergreen Pkwy,-122.9153021,45.5516673,ROOFTOP,Portland,27,Oregon,108
Opus Interactive Hillsboro Datacenter,58840.94495,6.717002849,8135 NE Evergreen Parkway,-122.8979396,45.5473386,ROOFTOP,Portland,27,Oregon,108
Opus Interactive Portland Datacenter,58840.94495,6.717002849,1225 W Burnside Street,-122.683661,45.52306,ROOFTOP,Portland,27,Oregon,108
EdgeConneX Portland - EDCPOR02,58840.94495,6.717002849,6297 NE Evergreen Pkwy,-122.9059554,45.5480153,RANGE_INTERPOLATED,Portland,27,Oregon,108
Crane Portland,58840.94495,6.717002849,Nehalem Hwy & Oak St,-123.1751802,45.6715044,GEOMETRIC_CENTER,Portland,27,Oregon,108
Pittock Block,58840.94495,6.717002849,921 SW Washington St,-122.6805969,45.5214429,ROOFTOP,Portland,27,Oregon,108
QTS Hillsboro DC 1,58840.94495,6.717002849,4951 NE Huffman Street,-122.9278135,45.5588424,ROOFTOP,Portland,27,Oregon,108
DTS-NET Portland,58840.94495,6.717002849,SW Stark Street,-122.8564401,45.5197755,GEOMETRIC_CENTER,Portland,27,Oregon,108
Windstream Portland,58840.94495,6.717002849,707 SW Washington St,-122.6791851,45.52107454,GoogleMap,Portland,27,Oregon,108
Lumen Portland 1,58840.94495,6.717002849,1335 NEW Northrup Street,-98.9092712,29.7543831,RANGE_INTERPOLATED,Portland,27,Oregon,108
Lumen Cedar Hills,58840.94495,6.717002849,14197 SW Millikan Way,-122.8226951,45.4939158,RANGE_INTERPOLATED,Portland,27,Oregon,108
Lumen Portland 2,58840.94495,6.717002849,707 SW Washington Avenue,-123.267163,44.56172673,GoogleMap,Portland,27,Oregon,108
DirectSpace Networks,58840.94495,6.717002849,707 SW Washington St,-122.6791851,45.52107454,GoogleMap,Portland,27,Oregon,108
Tata Communications Hillsboro,58840.94495,6.717002849,21101 NW Evergreen Parkway,-122.9089656,45.5498917,RANGE_INTERPOLATED,Portland,27,Oregon,108
Data Center West,58840.94495,6.717002849,Data Center West,-122.8804149,42.3324599,ROOFTOP,Medford,1,Oregon,108
Lumen Eugene 2,58840.94495,6.717002849,90470 Prairie Rd,-123.1678708,44.11828261,GoogleMap,Eugene,2,Oregon,108
Lumen Eugene 1,58840.94495,6.717002849,1745 W. 5th Avenue,-73.9446149,40.8032366,RANGE_INTERPOLATED,Eugene,2,Oregon,108
Columbia 1,58840.94495,6.717002849,207 SW Columbia St,-122.6771153,45.5135801,RANGE_INTERPOLATED,Bend,2,Oregon,108
OneNeck Bend,58840.94495,6.717002849,20845 Sockeye Pl,-121.2830279,44.0860968,ROOFTOP,Bend,2,Oregon,108
5870 NE Schaaf Street (PDX12),58840.94495,6.717002849,5870 NE Schaaf Street,-122.9205682,45.5687664,ROOFTOP,Hillsboro,9,Oregon,108
STACK Infrastructure POR03B,58840.94495,6.717002849,4735 NE Starr Blvd,-122.9379236,45.5542026,ROOFTOP,Hillsboro,9,Oregon,108
Aligned PDX-01,58840.94495,6.717002849,NE 30th Ave & NE Evergreen Rd,-122.9483092,45.5511824,GEOMETRIC_CENTER,Hillsboro,9,Oregon,108
Aligned PDX-02,58840.94495,6.717002849,NE 30th Ave & NE Evergreen Rd,-122.9483092,45.5511824,GEOMETRIC_CENTER,Hillsboro,9,Oregon,108
Hillsboro Campus,58840.94495,6.717002849,NE 30th Ave & NE Evergreen Rd,-122.9483092,45.5511824,GEOMETRIC_CENTER,Hillsboro,9,Oregon,108
STACK Infrastructure POR01,58840.94495,6.717002849,3145 NE Brookwood Pkwy,-122.9278512,45.5493952,ROOFTOP,Hillsboro,9,Oregon,108
QTS Hillsboro 3,58840.94495,6.717002849,TBA,,,,Hillsboro,9,Oregon,108
QTS Hillsboro 2 Campus,58840.94495,6.717002849,4755 NE Huffman Street,-122.9297675,45.5577731,ROOFTOP,Hillsboro,9,Oregon,108
OVHcloud HIL1,58840.94495,6.717002849,1300 NE 25th Ave,-82.1037086,29.19966,RANGE_INTERPOLATED,Hillsboro,9,Oregon,108
Synergy Data Center&Services,58840.94495,6.717002849,1650 Dewey Ave,-77.6392564,43.1982365,ROOFTOP,Baker City,1,Oregon,108
Kattare CVO,58840.94495,6.717002849,5010 SW HOUT ST,-123.2769452,44.5109332,ROOFTOP,Corvallis,1,Oregon,108
Amazon AWS PDX - Lewis East Campus,58840.94495,6.717002849,75282-75300 Lewis and Clark Dr,-119.6270273,45.8499182,RANGE_INTERPOLATED,Boardman,30,Oregon,108
Amazon AWS PDX - Bombing Campus,58840.94495,6.717002849,77860-77866 Bombing Range Rd,-119.6274082,45.82053187,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - Rippee Campus,58840.94495,6.717002849,79536-79553 Rippee Rd,-119.6542705,45.8410773,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - Olson Campus,58840.94495,6.717002849,79386-79392 Olson Rd,-119.6940698,45.83625207,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - Gar Swanson Campus,58840.94495,6.717002849,75242-75254 Gar Swanson Dr,-119.6087101,45.8597537,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - Lewis West Campus,58840.94495,6.717002849,73575-73579 Lewis and Clark Dr,-119.6305426,45.8507306,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 79541 Rippee,58840.94495,6.717002849,79541 Rippee Rd,-119.6544849,45.8415637,RANGE_INTERPOLATED,Boardman,30,Oregon,108
Amazon AWS PDX - 79536 Rippee,58840.94495,6.717002849,79536 Rippee Rd,-119.6542705,45.8410773,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 75294 Lewis,58840.94495,6.717002849,75294 Lewis and Clark Dr,-119.6060266,45.846937,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 79392 Olson,58840.94495,6.717002849,79392 Olson Rd,-119.6940698,45.83625207,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - Bombing D,58840.94495,6.717002849,TBD Bombing Range Rd,-119.6232559,45.69590732,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - Bombing C,58840.94495,6.717002849,TBD Bombing Range Rd,-119.6232559,45.69590732,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 77866 Bombing,58840.94495,6.717002849,77866 Bombing Range Rd,-119.6233589,45.81070567,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 79388 Olson,58840.94495,6.717002849,79388 Olson Rd,-119.6897787,45.83662491,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 75300 Lewis,58840.94495,6.717002849,75300 Lewis and Clark Dr,-119.6038162,45.8469518,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 75288 Lewis,58840.94495,6.717002849,75288 Lewis and Clark Dr,-119.6085788,45.8497264,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 73579 Lewis,58840.94495,6.717002849,73579 Lewis and Clark Dr,-119.6305414,45.85085885,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 75250 Gar Swanson,58840.94495,6.717002849,75250 Gar Swanson Dr,-119.6080158,45.8594086,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 79386 Olson,58840.94495,6.717002849,79386 Olson Rd,-119.5843105,45.41882303,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 75246 Gar Swanson,58840.94495,6.717002849,75246 Gar Swanson Dr,-119.6095097,45.8605091,RANGE_INTERPOLATED,Boardman,30,Oregon,108
Amazon AWS PDX - 79553 Rippee,58840.94495,6.717002849,79553 Rippee Rd,-119.655002,45.841679,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 79539 Rippee,58840.94495,6.717002849,79539 Rippee Rd,-119.6527377,45.8410248,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 73575 Lewis,58840.94495,6.717002849,73575 Lewis and Clark Dr,-119.6305426,45.8507306,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 75242 Gar Swanson,58840.94495,6.717002849,75242 Gar Swanson Dr,-119.6087101,45.8597537,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 77860 Bombing,58840.94495,6.717002849,77860 Bombing Range Rd,-119.6273975,45.82053187,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 79390 Olson,58840.94495,6.717002849,79390 Olson Rd,-0.0593982,46.6898363,APPROXIMATE,Boardman,30,Oregon,108
Amazon AWS PDX - 75254 Gar Swanson,58840.94495,6.717002849,75254 Gar Swanson Dr,-119.6093579,45.8620436,ROOFTOP,Boardman,30,Oregon,108
Amazon AWS PDX - 75282 Lewis,58840.94495,6.717002849,75282 Lewis and Clark Dr,-119.6270273,45.8499182,RANGE_INTERPOLATED,Boardman,30,Oregon,108
Amazon AWS PDX - 73577 Lewis,58840.94495,6.717002849,73577 Lewis and Clark Dr,-119.6298911,45.8522035,GoogleMap,Boardman,30,Oregon,108
Amazon AWS PDX - 79540 Rippee,58840.94495,6.717002849,79540 Rippee Rd,-119.6541903,45.8415562,RANGE_INTERPOLATED,Boardman,30,Oregon,108
SDC Umatilla,58840.94495,6.717002849,Beach Access Road,-119.2657565,45.92148941,GoogleMap,Umatilla,16,Oregon,108
Amazon AWS PDX - Powerline Campus,58840.94495,6.717002849,80817-80939 Powerline Rd,-104.6821048,38.6587767,APPROXIMATE,Umatilla,16,Oregon,108
Amazon AWS PDX - Wanapa Campus,58840.94495,6.717002849,34820-34850 Wanapa Rd,,,,Umatilla,16,Oregon,108
Amazon AWS PDX - Beach Campus,58840.94495,6.717002849,1600-3250 Beach Access Rd,-119.265994,45.914716,ROOFTOP,Umatilla,16,Oregon,108
Amazon AWS PDX - 2400 Beach,58840.94495,6.717002849,2400 Beach Access Rd,-119.2682443,45.9163848,ROOFTOP,Umatilla,16,Oregon,108
Amazon AWS PDX - 3200 Beach,58840.94495,6.717002849,3200 Beach Access Rd,-119.2662923,45.9172032,ROOFTOP,Umatilla,16,Oregon,108
Amazon AWS PDX - 1650 Beach,58840.94495,6.717002849,1650 Beach Access Rd,-157.0610252,58.7370403,RANGE_INTERPOLATED,Umatilla,16,Oregon,108
Amazon AWS PDX - 3250 Beach,58840.94495,6.717002849,3250 Beach Access Rd,-157.0610252,58.7370403,RANGE_INTERPOLATED,Umatilla,16,Oregon,108
Amazon AWS PDX - 34850 Wanapa,58840.94495,6.717002849,34850 Wanapa Rd,,,,Umatilla,16,Oregon,108
Amazon AWS PDX - 34840 Wanapa,58840.94495,6.717002849,34840 Wanapa Rd,,,,Umatilla,16,Oregon,108
Amazon AWS PDX - 80939 Powerline,58840.94495,6.717002849,80939 Powerline Rd,-119.3437378,45.88471696,GoogleMap,Umatilla,16,Oregon,108
Amazon AWS PDX - 1600 Beach,58840.94495,6.717002849,1600 Beach Access Rd,-119.265994,45.914716,ROOFTOP,Umatilla,16,Oregon,108
Amazon AWS PDX - 80817 Powerline,58840.94495,6.717002849,80817 Powerline Rd,-104.6821048,38.6587767,APPROXIMATE,Umatilla,16,Oregon,108
Amazon AWS PDX - 34830 Wanapa,58840.94495,6.717002849,34830 Wanapa Rd,,,,Umatilla,16,Oregon,108
Amazon AWS PDX - 34820 Wanapa,58840.94495,6.717002849,34820 Wanapa Rd,,,,Umatilla,16,Oregon,108
Amazon AWS PDX - 80937 Powerline,58840.94495,6.717002849,80937 Powerline Rd,11.5761802,48.220227,APPROXIMATE,Umatilla,16,Oregon,108
Amazon AWS PDX - Lind Campus,58840.94495,6.717002849,81712-81718 Lind Rd,18.5618168,54.4516493,APPROXIMATE,Hermiston,15,Oregon,108
Amazon AWS PDX - Penney Campus,58840.94495,6.717002849,976-994 E Penney Ave,-111.8769938,40.6942588,RANGE_INTERPOLATED,Hermiston,15,Oregon,108
Amazon AWS PDX - Livestock Campus,58840.94495,6.717002849,28803 NW Livestock Rd,-119.366617,45.7978285,ROOFTOP,Hermiston,15,Oregon,108
Amazon AWS PDX - 994 Penney,58840.94495,6.717002849,994 E Penney Ave,-111.8769938,40.6942588,RANGE_INTERPOLATED,Hermiston,15,Oregon,108
Amazon AWS PDX - 81716 Lind,58840.94495,6.717002849,81716 Lind Rd,18.5601851,54.4501367,APPROXIMATE,Hermiston,15,Oregon,108
Amazon AWS PDX - 81712 Lind,58840.94495,6.717002849,81712 Lind Rd,18.5618168,54.4516493,APPROXIMATE,Hermiston,15,Oregon,108
Amazon AWS PDX - 28803A Livestock,58840.94495,6.717002849,28803 NW Livestock Rd,-119.366617,45.7978285,ROOFTOP,Hermiston,15,Oregon,108
Amazon AWS PDX - 28803B Livestock,58840.94495,6.717002849,28803 NW Livestock Rd,-119.366617,45.7978285,ROOFTOP,Hermiston,15,Oregon,108
Amazon AWS PDX - 28803C Livestock,58840.94495,6.717002849,28803 NW Livestock Rd,-119.366617,45.7978285,ROOFTOP,Hermiston,15,Oregon,108
Amazon AWS PDX - 81718 Lind,58840.94495,6.717002849,81718 Lind Rd,24.3565675,49.4819392,APPROXIMATE,Hermiston,15,Oregon,108
Amazon AWS PDX - 988 Penney,58840.94495,6.717002849,988 E Penney Ave,-111.8769938,40.6942588,RANGE_INTERPOLATED,Hermiston,15,Oregon,108
Amazon AWS PDX - 28803D Livestock,58840.94495,6.717002849,28803 NW Livestock Rd,-119.366617,45.7978285,ROOFTOP,Hermiston,15,Oregon,108
Amazon AWS PDX - 976 Penney,58840.94495,6.717002849,976 E Penney Ave,-111.8769938,40.6942588,RANGE_INTERPOLATED,Hermiston,15,Oregon,108
Amazon AWS PDX - 81714 Lind,58840.94495,6.717002849,81714 Lind Rd,-0.1856044,51.3642844,GEOMETRIC_CENTER,Hermiston,15,Oregon,108
Amazon AWS PDX - 982 Penney,58840.94495,6.717002849,982 E Penney Ave,-111.8769938,40.6942588,RANGE_INTERPOLATED,Hermiston,15,Oregon,108
Meta Prineville Data Center,58840.94495,6.717002849,735 SW Connect Way,-120.8876301,44.2977382,ROOFTOP,Prineville,2,Oregon,108
Apple Prineville Data Center,58840.94495,6.717002849,1600 SW Baldwin Rd,-120.8701534,44.2877145,ROOFTOP,Prineville,2,Oregon,108
Lumen Bandon,58840.94495,6.717002849,96614 Wickizer Way,-124.3791347,43.2480766,RANGE_INTERPOLATED,Bandon,1,Oregon,108
Google The Dalles Data Center,58840.94495,6.717002849,4200 Columbia Rd,-0.0714328,51.5284339,GEOMETRIC_CENTER,The Dalles,1,Oregon,108
350 East Cermak Road (ORD10),49338.91391,5.632296108,350 East Cermak Road,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
600 S. Federal St. (ORD11),49338.91391,5.632296108,600 South Federal Street,-87.629937,41.8742242,ROOFTOP,Chicago,131,Illinois,149
Centersquare Lisle,49338.91391,5.632296108,4513 Western Ave,-87.6731331,41.5076913,RANGE_INTERPOLATED,Chicago,131,Illinois,149
2200 Busse Road (CH1),49338.91391,5.632296108,2200 Busse Road,-87.9619655,41.9942563,ROOFTOP,Chicago,131,Illinois,149
Iron Mountain Data Centers CHI-1,49338.91391,5.632296108,1680 Touhy Avenue ,-87.8813635,42.0110613,GEOMETRIC_CENTER,Chicago,131,Illinois,149
9333 Grand Avenue (ORD12),49338.91391,5.632296108,9333 Grand Avenue,-87.8864711,41.9303116,GEOMETRIC_CENTER,Chicago,131,Illinois,149
505 N. Railroad Avenue (ORD23),49338.91391,5.632296108,505 North Railroad Avenue,-112.6340706,45.2219371,ROOFTOP,Chicago,131,Illinois,149
Stream DC Chicago I,49338.91391,5.632296108,2080 Lunt Avenue,-87.9518272,42.0026832,ROOFTOP,Chicago,131,Illinois,149
1400 East Devon Avenue (CH3),49338.91391,5.632296108,1400 East Devon Avenue,-87.9641084,41.9933552,ROOFTOP,Chicago,131,Illinois,149
9355 Grand Ave (ORD13),49338.91391,5.632296108,9355 Grand Ave,-117.8725292,34.1510858,RANGE_INTERPOLATED,Chicago,131,Illinois,149
9377 Grand Ave (ORD14),49338.91391,5.632296108,9377 Grand Ave,-117.8725292,34.1510858,RANGE_INTERPOLATED,Chicago,131,Illinois,149
Stream DC Chicago II,49338.91391,5.632296108,1925 Busse Road,-87.9576887,41.9991325,ROOFTOP,Chicago,131,Illinois,149
2299 Busse Road (CH2),49338.91391,5.632296108,2299 Busse Road,-87.9576785,41.9941803,ROOFTOP,Chicago,131,Illinois,149
Hivelocity - Chicago 1,49338.91391,5.632296108,350 East Cermak Road,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
CyrusOne CHI5 - Lombard,49338.91391,5.632296108,1850 Springers Drive,-97.505928,31.0576141,RANGE_INTERPOLATED,Chicago,131,Illinois,149
NTT Chicago CH1,49338.91391,5.632296108,255 Pierce Road,-88.00825099,41.98775042,GoogleMap,Chicago,131,Illinois,149
CyrusOne CHI2 - Aurora,49338.91391,5.632296108,2805 Diehl Rd.,-88.245166,41.796912,ROOFTOP,Chicago,131,Illinois,149
Deft Elk Grove Village,49338.91391,5.632296108,2200 Busse Rd,-87.9619655,41.9942563,ROOFTOP,Chicago,131,Illinois,149
T5 Data Centers - T5@Chicago,49338.91391,5.632296108,200 Innovation Dr,-88.25959143,41.87659107,GoogleMap,Chicago,131,Illinois,149
Netrality - 717 S Wells,49338.91391,5.632296108,717 S. Wells,-87.63331329,41.87294148,GoogleMap,Chicago,131,Illinois,149
TierPoint Chicago - Polk,49338.91391,5.632296108,601 W. Polk St.,-87.643072,41.8717744,ROOFTOP,Chicago,131,Illinois,149
Prime Chicago Data Center Campus ,49338.91391,5.632296108,1701 Midway Ct,-84.3483459,30.1848123,GEOMETRIC_CENTER,Chicago,131,Illinois,149
TierPoint Chicago - West,49338.91391,5.632296108,9333 West Grand Ave.,-87.8580365,41.9270186,ROOFTOP,Chicago,131,Illinois,149
CoreSite Chicago (CH1),49338.91391,5.632296108,427 South LaSalle,-87.63164143,41.87612467,GoogleMap,Chicago,131,Illinois,149
SBA Edge Chicago,49338.91391,5.632296108,603 Discovery Drive,103.7912118,1.295063,GEOMETRIC_CENTER,Chicago,131,Illinois,149
Deft Chicago,49338.91391,5.632296108,350 East Cermak Road,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
CyrusOne CHI1 - Aurora,49338.91391,5.632296108,2905 Diehl Rd.,-88.2451589,41.7975898,ROOFTOP,Chicago,131,Illinois,149
725 S. Wells,49338.91391,5.632296108,725 S Wells,-87.6332523,41.87259765,GoogleMap,Chicago,131,Illinois,149
Colocation America CHIDC1,49338.91391,5.632296108,350 E. Cermak Rd,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
Element Critical Chicago One,49338.91391,5.632296108,711 N. Edgewood Ave.,-87.9645554,41.9758868,ROOFTOP,Chicago,131,Illinois,149
Element Critical Chicago Two,49338.91391,5.632296108,341 Haynes Dr,-86.3903247,35.8905656,RANGE_INTERPOLATED,Chicago,131,Illinois,149
Colocation America CHIDC4,49338.91391,5.632296108,1808 Swift Dr.,-87.92100076,41.85380872,GoogleMap,Chicago,131,Illinois,149
DataBank ORD4,49338.91391,5.632296108,1808 Swift Drive,-87.92100076,41.85380872,GoogleMap,Chicago,131,Illinois,149
Skybox Chicago I,49338.91391,5.632296108,800 E Devon Ave,-87.974827,41.9934247,ROOFTOP,Chicago,131,Illinois,149
CDW Elk Grove Data Center,49338.91391,5.632296108,1441 Touhy Ave,-87.9644177,42.006683,ROOFTOP,Chicago,131,Illinois,149
Digital Fortress Chicago,49338.91391,5.632296108,360 E 22nd St.,-73.9794256,40.7361994,RANGE_INTERPOLATED,Chicago,131,Illinois,149
CloudHQ ORD Campus,49338.91391,5.632296108,1200 E Algonquin Rd,-87.9543447,42.0349121,ROOFTOP,Chicago,131,Illinois,149
365 Data Centers - Chicago 1,49338.91391,5.632296108,427 S La Salle St,-87.6316307,41.8761247,ROOFTOP,Chicago,131,Illinois,149
Serverfarm CH1,49338.91391,5.632296108,840 S. Canal Street,-74.0110483,40.7251745,RANGE_INTERPOLATED,Chicago,131,Illinois,149
Aligned ORD-01,49338.91391,5.632296108,505 Northwest Avenue,-75.2462469,39.4464235,RANGE_INTERPOLATED,Chicago,131,Illinois,149
DataBank ORD3 - Mount Prospect,49338.91391,5.632296108,800 E Business Center Dr,-87.923543,42.078071,ROOFTOP,Chicago,131,Illinois,149
DataBank ORD1 - Downtown Chicago,49338.91391,5.632296108,600 S Federal St,-87.629937,41.8742242,ROOFTOP,Chicago,131,Illinois,149
STACK Infrastructure CHI01B,49338.91391,5.632296108,1301 Touhy Ave,-87.9662111,42.0068223,ROOFTOP,Chicago,131,Illinois,149
Metro Edge IMD1,49338.91391,5.632296108,1951 W Hastings St,-87.6748535,41.8637949,ROOFTOP,Chicago,131,Illinois,149
NetSource Naperville 1,49338.91391,5.632296108,2368 Corporate Lane,-88.1952623,41.8109585,ROOFTOP,Chicago,131,Illinois,149
Cogent Data Center - Chicago 2,49338.91391,5.632296108,216 W. Jackson Blvd,-87.6345247,41.8784646,ROOFTOP,Chicago,131,Illinois,149
QTS Chicago,49338.91391,5.632296108,2800 S. Ashland Ave,-87.6675031,41.8425795,ROOFTOP,Chicago,131,Illinois,149
Rackspace Chicago,49338.91391,5.632296108,2200 Busse Road,-87.9619655,41.9942563,ROOFTOP,Chicago,131,Illinois,149
STACK Infrastructure CHI01A,49338.91391,5.632296108,1441 Touhy Ave,-87.9644177,42.006683,ROOFTOP,Chicago,131,Illinois,149
DataBank ORD2 - Chicago,49338.91391,5.632296108,840 S. Canal Street,-74.0110483,40.7251745,RANGE_INTERPOLATED,Chicago,131,Illinois,149
EdgeConneX Chicago - EDCCHI02,49338.91391,5.632296108,2021 Lunt Ave,-87.9526048,42.0014022,ROOFTOP,Chicago,131,Illinois,149
CoreSite Chicago (CH2),49338.91391,5.632296108,1432 S Clinton St.,-104.877182,39.6903858,RANGE_INTERPOLATED,Chicago,131,Illinois,149
Cogent Data Center - Chicago 1,49338.91391,5.632296108,427 LaSalle St,-86.109403,39.7735818,RANGE_INTERPOLATED,Chicago,131,Illinois,149
Apotech,49338.91391,5.632296108,1331 E Business Center Dr,-87.9156483,42.0784428,ROOFTOP,Chicago,131,Illinois,149
Microsoft Northlake,49338.91391,5.632296108,601-605 Northwest Ave,-122.4982841,48.7770642,GEOMETRIC_CENTER,Chicago,131,Illinois,149
Equinix CH4,49338.91391,5.632296108,350 E Cermak Rd,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
XNet Critical Computing Facility,49338.91391,5.632296108,3080 Ogden Ave,-88.1125871,41.7967216,ROOFTOP,Chicago,131,Illinois,149
Midway Technology Center,49338.91391,5.632296108,40 E Garfield Blvd,-87.6221558,41.7949234,ROOFTOP,Chicago,131,Illinois,149
Aligned ORD-02,49338.91391,5.632296108,505 Northwest Avenue,-75.2462469,39.4464235,RANGE_INTERPOLATED,Chicago,131,Illinois,149
Chirisa Volo Technology Park,49338.91391,5.632296108,300 South Fish Lake Rd,-88.1477423,42.323887,ROOFTOP,Chicago,131,Illinois,149
ColoCrossing CH1,49338.91391,5.632296108,2200 Busse Road,-87.9619655,41.9942563,ROOFTOP,Chicago,131,Illinois,149
ColoHouse Chicago Cermak,49338.91391,5.632296108,350 E Cermak,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
Chirisa Chirisa Volo Technology Park YLO-01,49338.91391,5.632296108,300 South Fish Lake Rd,-88.1477423,42.323887,ROOFTOP,Chicago,131,Illinois,149
Chirisa Chirisa Volo Technology Park YLO-02,49338.91391,5.632296108,300 South Fish Lake Rd,-88.1477423,42.323887,ROOFTOP,Chicago,131,Illinois,149
EdgeConneX Chicago - EDCCHI01,49338.91391,5.632296108,1800 Nicholas Blvd,-87.9507756,42.0007844,ROOFTOP,Chicago,131,Illinois,149
ColoHouse Chicago Wells,49338.91391,5.632296108,725 S Wells Street,-87.6332523,41.8725857,ROOFTOP,Chicago,131,Illinois,149
Chicago Exchange,49338.91391,5.632296108,601 W. Polk St,-87.643072,41.8717744,ROOFTOP,Chicago,131,Illinois,149
Cogent Data Center - Chicago 3,49338.91391,5.632296108,4200 W 40th St,-73.9918094,40.756393,GEOMETRIC_CENTER,Chicago,131,Illinois,149
Ascent CH2,49338.91391,5.632296108,505 N Railroad Ave,-87.9121607,41.92002117,GoogleMap,Chicago,131,Illinois,149
360TCS Data Center,49338.91391,5.632296108,360 E. 22nd St.,-73.9794256,40.7361994,RANGE_INTERPOLATED,Chicago,131,Illinois,149
365 Data Centers - Chicago 2,49338.91391,5.632296108,350 East Cermak Road,-87.6183534,41.853678,ROOFTOP,Chicago,131,Illinois,149
Chicago Campus,49338.91391,5.632296108,505 Northwest Avenue,-75.2462469,39.4464235,RANGE_INTERPOLATED,Chicago,131,Illinois,149
CloudHQ ORD2,49338.91391,5.632296108,1200 E Algonquin Rd,-87.9543447,42.0349121,ROOFTOP,Chicago,131,Illinois,149
T5 Data Centers - T5@Chicago lll,49338.91391,5.632296108,11650 W Grand Ave,-87.916343,41.9339339,ROOFTOP,Chicago,131,Illinois,149
CloudHQ ORD3,49338.91391,5.632296108,1200 E Algonquin Rd,-87.9543447,42.0349121,ROOFTOP,Chicago,131,Illinois,149
CloudHQ ORD1,49338.91391,5.632296108,1200 E Algonquin Rd,-87.9543447,42.0349121,ROOFTOP,Chicago,131,Illinois,149
T5 Data Centers - T5@Grayslake Campus,49338.91391,5.632296108,30907 N Alleghany Rd,-88.050583,42.311883,ROOFTOP,Chicago,131,Illinois,149
